trade_time,total_nav,total_nav_hfq,cum_return_pct,profit,profit_hfq
2025-07-02 14:31:40,338066.14,338066.14,238.07,238066.14,238066.14
2025-07-03 13:42:28,346681.57,346681.57,246.68,246681.57,246681.57
2025-07-09 09:30:26,345230.21,345230.21,245.23,245230.21,245230.21
2025-07-14 14:30:55,339525.23,339525.23,239.53,239525.23,239525.23
2025-07-15 10:49:48,353963.17,353963.17,253.96,253963.17,253963.17
2025-07-17 10:30:50,366480.17,366480.17,266.48,266480.17,266480.17
2025-07-18 13:01:15,365056.74,365056.74,265.06,265056.74,265056.74
2025-07-21 09:05:02,363658.06,363658.06,263.66,263658.06,263658.06
2025-07-22 09:31:35,371387.27,371387.27,271.39,271387.27,271387.27
2025-07-22 10:21:47,369603.37,369603.37,269.6,269603.37,269603.37
2025-07-24 13:58:11,368120.17,368120.17,268.12,268120.17,268120.17
2025-07-25 10:34:44,366824.51,366824.51,266.82,266824.51,266824.51
2025-07-25 10:35:52,365448.17,365448.17,265.45,265448.17,265448.17
2025-07-30 10:11:39,364778.47,364778.47,264.78,264778.47,264778.47
2025-07-31 09:37:09,364089.81,364089.81,264.09,264089.81,264089.81
2025-08-05 09:30:26,362696.75,362696.75,262.7,262696.75,262696.75
2025-08-15 13:12:16,361341.95,361341.95,261.34,261341.95,261341.95
2025-08-19 10:52:35,423190.55,423190.55,323.19,323190.55,323190.55
2025-08-26 09:30:23,422274.49,422274.49,322.27,322274.49,322274.49
2025-08-29 13:01:19,419179.68,419179.68,319.18,319179.68,319179.68
2025-09-02 11:24:42,417603.72,417603.72,317.6,317603.72,317603.72
2025-09-02 11:25:26,415865.81,415865.81,315.87,315865.81,315865.81
2025-09-08 09:34:23,413015.74,413015.74,313.02,313015.74,313015.74
2025-09-17 09:32:40,411491.87,411491.87,311.49,311491.87,311491.87
2025-09-17 14:36:50,460168.19,460168.19,360.17,360168.19,360168.19
2025-09-19 09:38:10,458054.61,458054.61,358.05,358054.61,358054.61
2025-10-13 11:07:00,458054.61,458054.61,358.05,358054.61,358054.61
2025-10-23 10:01:07,439103.08,439103.08,339.1,339103.08,339103.08
2025-10-27 13:59:41,451493.53,451493.53,351.49,351493.53,351493.53
2025-10-31 09:31:32,448233.84,448233.84,348.23,348233.84,348233.84
2025-11-04 09:30:31,442121.64,442121.64,342.12,342121.64,342121.64
2025-11-07 10:12:07,478731.68,478731.68,378.73,378731.68,378731.68
2025-11-11 09:32:01,477834.16,477834.16,377.83,377834.16,377834.16
2025-11-13 09:31:06,561147.3,561147.3,461.15,461147.3,461147.3
2025-11-21 10:57:26,558938.7,558938.7,458.94,458938.7,458938.7
2025-11-21 14:11:22,533988.42,533988.42,433.99,433988.42,433988.42
2025-11-25 09:31:27,528491.19,528491.19,428.49,428491.19,428491.19
2025-11-27 09:33:49,519613.38,519613.38,419.61,419613.38,419613.38
2025-11-28 14:37:10,517287.81,517287.81,417.29,417287.81,417287.81
2025-12-09 09:31:19,515293.54,515293.54,415.29,415293.54,415293.54
2025-12-09 10:32:49,513418.14,513418.14,413.42,413418.14,413418.14
2025-12-15 09:30:29,512752.79,512752.79,412.75,412752.79,412752.79
2025-12-15 09:32:55,511213.21,511213.21,411.21,411213.21,411213.21
2025-12-15 10:26:49,579833.54,579833.54,479.83,479833.54,479833.54
2025-12-15 10:27:17,579778.54,579778.54,479.78,479778.54,479778.54
2025-12-17 10:54:01,577316.46,577316.46,477.32,477316.46,477316.46
2025-12-17 10:57:23,575220.03,575220.03,475.22,475220.03,475220.03
2025-12-22 09:52:55,573054.6,573054.6,473.05,473054.6,473054.6
2026-01-07 09:37:02,629928.55,629928.55,529.93,529928.55,529928.55
2026-01-08 09:32:48,627445.11,627445.11,527.45,527445.11,527445.11
2026-01-09 14:22:43,620462.87,620462.87,520.46,520462.87,520462.87
2026-01-14 11:20:30,610922.35,610922.35,510.92,510922.35,510922.35
2026-01-15 10:57:32,610552.96,610552.96,510.55,510552.96,510552.96
2026-01-28 09:32:16,608288.34,608288.34,508.29,508288.34,508288.34
2026-01-28 10:12:02,597073.16,597073.16,497.07,497073.16,497073.16
2026-01-29 09:30:59,673342.76,673342.76,573.34,573342.76,573342.76
2026-01-29 09:36:00,726041.66,726041.66,626.04,626041.66,626041.66
2026-01-29 14:41:42,723230.73,723230.73,623.23,623230.73,623230.73
2026-01-29 14:41:57,720465.19,720465.19,620.47,620465.19,620465.19
2026-02-02 09:33:51,728799.5,728799.5,628.8,628799.5,628799.5
2026-02-09 10:44:44,706862.67,706862.67,606.86,606862.67,606862.67
2026-02-11 13:45:06,688889.05,688889.05,588.89,588889.05,588889.05
2026-02-13 11:13:39,697169.05,697169.05,597.17,597169.05,597169.05
2026-02-24 09:33:36,694477.77,694477.77,594.48,594477.77,594477.77
2026-03-04 14:31:55,703221.95,703221.95,603.22,603221.95,603221.95
2026-03-04 14:32:15,703197.95,703197.95,603.2,603197.95,603197.95
2026-03-13 14:54:39,703197.95,703197.95,603.2,603197.95,603197.95
2026-03-16 14:42:39,703197.95,703197.95,603.2,603197.95,603197.95
2026-03-16 14:43:10,699044.35,699044.35,599.04,599044.35,599044.35
2026-03-18 14:08:02,696460.51,696460.51,596.46,596460.51,596460.51
2026-03-24 11:29:24,693925.4,693925.4,593.93,593925.4,593925.4
2026-03-25 13:56:52,691227.27,691227.27,591.23,591227.27,591227.27
2026-04-02 09:52:06,688249.47,688249.47,588.25,588249.47,588249.47
2026-04-07 09:56:32,702805.21,702805.21,602.81,602805.21,602805.21
2026-04-09 13:37:06,730439.77,730439.77,630.44,630439.77,630439.77
2026-04-10 11:03:42,730439.77,730439.77,630.44,630439.77,630439.77
2026-04-10 11:04:23,727632.67,727632.67,627.63,627632.67,627632.67
2026-04-10 11:04:38,727575.67,727575.67,627.58,627575.67,627575.67
2026-04-16 09:30:47,725221.12,725221.12,625.22,625221.12,625221.12
2026-04-21 10:07:23,722946.62,722946.62,622.95,622946.62,622946.62
2026-04-22 07:44:43,720416.26,720416.26,620.42,620416.26,620416.26
2026-04-24 10:08:02,717879.93,717879.93,617.88,617879.93,617879.93
2026-04-27 09:35:21,808028.25,808028.25,708.03,708028.25,708028.25
2026-04-28 11:03:07,801106.29,801106.29,701.11,701106.29,701106.29
2026-04-30 09:36:24,804657.29,804657.29,704.66,704657.29,704657.29
2026-04-30 09:37:34,804626.29,804626.29,704.63,704626.29,704626.29
2026-05-06 13:02:41,801594.33,801594.33,701.59,701594.33,701594.33
2026-05-07 13:31:51,798649.41,798649.41,698.65,698649.41,698649.41
2026-05-08 14:18:53,795782.13,795782.13,695.78,695782.13,695782.13
2026-05-13 09:56:30,837678.49,837678.49,737.68,737678.49,737678.49
2026-05-14 09:32:01,833020.61,833020.61,733.02,733020.61,733020.61
2026-05-14 09:36:26,828842.33,828842.33,728.84,728842.33,728842.33
2026-05-15 11:07:20,826206.25,826206.25,726.21,726206.25,726206.25
2026-05-19 09:05:41,824731.85,824731.85,724.73,724731.85,724731.85
2026-05-22 10:14:22,822085.13,822085.13,722.09,722085.13,722085.13
2026-05-26 09:32:56,848990.69,848990.69,748.99,748990.69,748990.69
